epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,51072.8,0.9075,1.07999,1.36003,0.69034,0.66429,0.63993,0.48883,1.02553,1.42713,1.59527,0.002542,0.002542,0.002542
115,51666.3,0.90361,1.06614,1.35575,0.69019,0.66572,0.63965,0.48898,1.0256,1.42676,1.59533,0.002476,0.002476,0.002476
116,52259.8,0.90752,1.07194,1.35969,0.69454,0.66148,0.63997,0.48895,1.02582,1.42498,1.59514,0.00241,0.00241,0.00241
117,52881.3,0.90295,1.05761,1.35467,0.69443,0.66105,0.64093,0.48951,1.0258,1.42481,1.59514,0.002344,0.002344,0.002344
118,53469.7,0.90376,1.05716,1.35565,0.6957,0.66125,0.64063,0.48933,1.02572,1.42473,1.59501,0.002278,0.002278,0.002278
119,54008.4,0.90119,1.06395,1.35663,0.69832,0.65735,0.64051,0.48952,1.02561,1.425,1.59445,0.002212,0.002212,0.002212
120,54614.8,0.89213,1.04958,1.34956,0.69864,0.65789,0.64087,0.48946,1.02591,1.42414,1.59472,0.002146,0.002146,0.002146
121,55389.7,0.88739,1.05134,1.34694,0.69656,0.66032,0.64063,0.48977,1.02656,1.42436,1.59538,0.00208,0.00208,0.00208
122,56007.1,0.88218,1.0291,1.3419,0.69749,0.65898,0.64005,0.48957,1.0268,1.4254,1.59572,0.002014,0.002014,0.002014
123,56562.3,0.89412,1.04343,1.34881,0.69962,0.65845,0.64038,0.48968,1.02687,1.42649,1.59553,0.001948,0.001948,0.001948
124,57241.6,0.87964,1.03104,1.33894,0.69923,0.65798,0.63938,0.48952,1.02678,1.42664,1.59559,0.001882,0.001882,0.001882
125,57900.4,0.87785,1.02516,1.33732,0.70023,0.65769,0.63931,0.48947,1.02714,1.42748,1.59604,0.001816,0.001816,0.001816
126,58466,0.87658,1.01989,1.33832,0.70184,0.65333,0.63933,0.48981,1.02733,1.42821,1.59635,0.00175,0.00175,0.00175
127,59034.6,0.87872,1.00961,1.33684,0.70175,0.65478,0.63962,0.48984,1.02782,1.42959,1.59672,0.001684,0.001684,0.001684
128,59587,0.86863,1.00968,1.33268,0.70539,0.65287,0.6393,0.48943,1.0283,1.4292,1.59789,0.001618,0.001618,0.001618
129,60137.7,0.87037,1.00865,1.33202,0.70356,0.65192,0.63859,0.48942,1.02888,1.42974,1.59851,0.001552,0.001552,0.001552
130,60729,0.87321,1.00515,1.33443,0.70498,0.6496,0.63811,0.48911,1.02941,1.43038,1.59881,0.001486,0.001486,0.001486
131,61340.4,0.86054,0.99994,1.32479,0.70445,0.64835,0.63812,0.48909,1.03008,1.42964,1.5992,0.00142,0.00142,0.00142
132,61942.7,0.8575,0.98853,1.32325,0.70544,0.64731,0.6383,0.48953,1.03051,1.42988,1.59965,0.001354,0.001354,0.001354
133,62555.6,0.86123,0.98992,1.32817,0.70614,0.64692,0.63824,0.48957,1.03108,1.43036,1.60026,0.001288,0.001288,0.001288
134,63157.7,0.85551,0.98743,1.31845,0.7072,0.64559,0.63785,0.48974,1.03151,1.43209,1.60068,0.001222,0.001222,0.001222
135,63791.9,0.85199,0.97865,1.31824,0.70721,0.64565,0.6371,0.48948,1.03214,1.43338,1.60164,0.001156,0.001156,0.001156
136,64404.9,0.84884,0.96811,1.31564,0.70786,0.64465,0.6367,0.48931,1.0328,1.43373,1.60225,0.00109,0.00109,0.00109
137,65035.9,0.8509,0.96578,1.31276,0.70708,0.64326,0.63641,0.48911,1.03373,1.43372,1.60306,0.001024,0.001024,0.001024
138,65652.2,0.84793,0.97106,1.31418,0.70799,0.64248,0.63565,0.48879,1.03411,1.43528,1.60292,0.000958,0.000958,0.000958
139,66366.4,0.84226,0.94708,1.31192,0.70903,0.64131,0.63465,0.48856,1.03499,1.43641,1.60375,0.000892,0.000892,0.000892
140,66985.3,0.84021,0.95766,1.30819,0.70866,0.64172,0.63439,0.48879,1.03586,1.43842,1.60453,0.000826,0.000826,0.000826
141,67592.4,0.76824,0.63739,1.31125,0.70757,0.64088,0.63359,0.4886,1.03605,1.43875,1.60546,0.00076,0.00076,0.00076
142,68166.7,0.75336,0.60659,1.3002,0.70555,0.64058,0.63294,0.48845,1.03553,1.43904,1.60503,0.000694,0.000694,0.000694
143,68773.1,0.73971,0.59451,1.28674,0.7058,0.6405,0.63245,0.48822,1.03471,1.43963,1.60438,0.000628,0.000628,0.000628
144,69416.4,0.72684,0.57905,1.27793,0.70701,0.64031,0.63235,0.48756,1.03445,1.44091,1.60435,0.000562,0.000562,0.000562
145,70127.4,0.72277,0.57936,1.27762,0.70576,0.64016,0.63212,0.4875,1.03393,1.44114,1.60413,0.000496,0.000496,0.000496
146,70736.6,0.71896,0.57185,1.26883,0.70511,0.64007,0.63143,0.48726,1.03418,1.44188,1.60516,0.00043,0.00043,0.00043
147,71377.5,0.71418,0.56702,1.26508,0.70574,0.64041,0.63053,0.48694,1.03372,1.44289,1.60504,0.000364,0.000364,0.000364
148,436.701,0.85104,1.00554,1.32894,0.70539,0.64062,0.63086,0.48715,1.03415,1.44296,1.60606,0.000298,0.000298,0.000298
149,1031.94,0.84652,0.99337,1.32586,0.70514,0.64048,0.63037,0.48713,1.03442,1.44376,1.60676,0.000232,0.000232,0.000232
150,1652.3,0.84531,0.98848,1.32515,0.70498,0.64017,0.63031,0.48684,1.0345,1.44527,1.60745,0.000166,0.000166,0.000166
